filename,pneumonia_score,predicted_label,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia,Lung Lesion,Fracture,Lung Opacity,Enlarged Cardiomediastinum
0000.png,0.9270534,pneumonia,0.35688472,0.53265214,0.54864085,0.5281033,0.025310852,0.5002018,0.5266664,0.49279496,0.0020799288,0.5262257,0.20870364,0.51709086,0.5269149,0.02466807,0.29986253,0.50595427,0.9270534,0.5297344
0001.png,0.95640516,pneumonia,0.3447506,0.5152515,0.5784935,0.5146766,0.014390502,0.2553719,0.5149288,0.50971067,0.00018068231,0.55933875,0.5048752,0.5047859,0.53521323,0.1521656,0.046675183,0.5132742,0.95640516,0.54457754
0002.png,0.938754,pneumonia,0.5054567,0.5155285,0.55886257,0.5143395,0.0250267,0.41876304,0.5176114,0.5659648,0.0003668951,0.5379846,0.51743245,0.5388933,0.6149061,0.23004575,0.12527211,0.51926696,0.938754,0.5643579
0003.png,0.9677054,pneumonia,0.5123209,0.51196706,0.5595827,0.51894426,0.0041869218,0.04524487,0.50430965,0.5271255,2.710229e-05,0.5301852,0.30980512,0.5226909,0.60798573,0.10642299,0.017365687,0.53970325,0.9677054,0.4251615
0004.png,0.962271,pneumonia,0.5110236,0.5338508,0.5862093,0.5218329,0.027021907,0.3675606,0.51658005,0.5159618,0.00026373196,0.5453093,0.37230426,0.514775,0.5892233,0.05322091,0.1467251,0.5192077,0.962271,0.537789
0005.png,0.9619403,pneumonia,0.5052118,0.51409554,0.51911616,0.5224439,0.008338909,0.11793847,0.5016906,0.4658684,3.494786e-05,0.5078886,0.40056515,0.5344845,0.6522641,0.09850122,0.097335845,0.53244996,0.9619403,0.5067494
0006.png,0.9618991,pneumonia,0.4525963,0.50806236,0.5454636,0.5077154,0.0056655137,0.13154732,0.5093353,0.34997815,5.1205352e-05,0.53419137,0.35533214,0.5110254,0.55880266,0.26844212,0.050278913,0.5299159,0.9618991,0.5196465
0007.png,0.9320437,pneumonia,0.5017513,0.5467246,0.58296293,0.50763476,0.014172119,0.40585738,0.5589613,0.5243192,0.0020231192,0.6046347,0.23930608,0.5322163,0.6099036,0.045782078,0.019075988,0.5257256,0.9320437,0.51806796
0008.png,0.9404685,pneumonia,0.51030236,0.52371216,0.548437,0.5061928,0.0064740838,0.19477963,0.52632177,0.5656548,0.00032484432,0.5716229,0.39607963,0.5224503,0.6174811,0.4563379,0.033242114,0.53589237,0.9404685,0.52097476
0009.png,0.9679901,pneumonia,0.5019446,0.5229228,0.57661474,0.5119374,0.013948364,0.09489375,0.5062022,0.5197761,0.00016232088,0.5250817,0.5111545,0.51460224,0.5758142,0.15502952,0.06377863,0.5101992,0.9679901,0.53863066
0010.png,0.94002104,pneumonia,0.53378665,0.561646,0.57284975,0.51674294,0.09156774,0.28409976,0.5454906,0.5565703,0.009716895,0.5529047,0.37867317,0.53357065,0.67095965,0.06692686,0.19872172,0.51606405,0.94002104,0.54259753
0011.png,0.96578926,pneumonia,0.5445609,0.54263055,0.61830974,0.52198464,0.106510095,0.30902967,0.51558256,0.5461215,0.000897563,0.5370382,0.51762474,0.5092589,0.5869002,0.30083403,0.15249057,0.51937926,0.96578926,0.5349134
0012.png,0.89092195,pneumonia,0.5813191,0.5955544,0.62669903,0.55069184,0.51320493,0.5044644,0.5511156,0.58134496,0.09895595,0.5446139,0.5316391,0.51389027,0.5580484,0.19114871,0.5131073,0.53021204,0.89092195,0.5743165
