filename,pneumonia_score,predicted_label,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia,Lung Lesion,Fracture,Lung Opacity,Enlarged Cardiomediastinum
0000.png,0.91955054,pneumonia,0.5521978,0.5586226,0.57265913,0.5489579,0.2966258,0.5013226,0.51867247,0.5539489,0.0046852496,0.5376723,0.53734374,0.5271237,0.62611663,0.16466263,0.47571304,0.53611875,0.91955054,0.5489236
0001.png,0.9251175,pneumonia,0.5322517,0.52945995,0.54514134,0.5395592,0.08377251,0.40623906,0.50896955,0.5226129,0.00086430967,0.53930044,0.53046536,0.5293078,0.66898286,0.50243986,0.29953137,0.5493047,0.9251175,0.5241005
0002.png,0.94818187,pneumonia,0.5675609,0.5239249,0.5320951,0.5580144,0.057810683,0.15478897,0.50166464,0.4461821,0.00033664162,0.51764417,0.53251743,0.5148553,0.5910579,0.38459972,0.11049033,0.53567946,0.94818187,0.50711983
0003.png,0.9389089,pneumonia,0.55829495,0.5487088,0.5512103,0.57301015,0.1429637,0.4671658,0.51035655,0.5351948,0.0012218483,0.5404762,0.5526876,0.5246402,0.5983809,0.18465719,0.28882605,0.55120015,0.9389089,0.5199409
0004.png,0.9480342,pneumonia,0.52699697,0.51554775,0.5378823,0.5497931,0.0353888,0.2216728,0.503199,0.50258845,0.00028051937,0.5208905,0.51436555,0.51622695,0.60927814,0.5035517,0.106326185,0.5416546,0.9480342,0.5100343
0005.png,0.93841857,pneumonia,0.5879731,0.55977535,0.5814807,0.5795567,0.28560418,0.50042236,0.5175407,0.55252117,0.0034832477,0.54192114,0.5549797,0.520638,0.59526724,0.22539254,0.4077531,0.5603385,0.93841857,0.5419394
0006.png,0.94220316,pneumonia,0.55194664,0.535767,0.5693885,0.5568984,0.13749929,0.50016856,0.5084609,0.53516674,0.00089337974,0.5353677,0.5448078,0.51763535,0.591655,0.30067468,0.1665094,0.5617665,0.94220316,0.53178596
0007.png,0.93761337,pneumonia,0.5281676,0.5329635,0.5530963,0.5414814,0.1388071,0.42049575,0.50553083,0.52730685,0.0006457313,0.51753306,0.5338622,0.5372305,0.64014447,0.07443809,0.24302775,0.5516218,0.93761337,0.53453517
0008.png,0.9582616,pneumonia,0.57889223,0.5713533,0.5832926,0.56502336,0.2804504,0.5002383,0.5098002,0.5595562,0.0028172773,0.5412656,0.5588624,0.5264929,0.5764855,0.14545068,0.21985422,0.53735876,0.9582616,0.52688617
0009.png,0.9198751,pneumonia,0.55161494,0.5519575,0.5655035,0.5478864,0.22916837,0.5013577,0.52495396,0.57047427,0.0032485665,0.57347965,0.54495776,0.5202103,0.5787144,0.29907456,0.32073295,0.5599953,0.9198751,0.5508057
0010.png,0.95144916,pneumonia,0.37117004,0.52429354,0.5537529,0.5196754,0.05746222,0.22539167,0.50754774,0.37459552,0.00071243197,0.51463735,0.5051203,0.5240495,0.62267756,0.13313666,0.14746837,0.5149589,0.95144916,0.52441686
0011.png,0.93973047,pneumonia,0.56751174,0.53691936,0.5465903,0.5701802,0.14645462,0.5003122,0.50815237,0.5243722,0.001210755,0.52677596,0.5526985,0.5276768,0.62265897,0.29446587,0.28844252,0.5454308,0.93973047,0.52447754
0012.png,0.94813055,pneumonia,0.568349,0.553776,0.5578037,0.5829764,0.2558738,0.5002782,0.5047076,0.55471575,0.0017320699,0.52128404,0.546334,0.5221827,0.592025,0.18533991,0.22993284,0.562413,0.94813055,0.5300965
0013.png,0.9498014,pneumonia,0.5565416,0.571689,0.57055247,0.5470292,0.21633096,0.40649572,0.51444125,0.52270544,0.0039967415,0.5299611,0.54173267,0.5403365,0.5963206,0.07228375,0.3352251,0.5393251,0.9498014,0.52846014
0014.png,0.95802087,pneumonia,0.5603266,0.56448424,0.5828397,0.53958,0.238921,0.50101316,0.52144134,0.5720211,0.0030005656,0.5580262,0.5410805,0.52797335,0.5995388,0.21265578,0.31867447,0.55865955,0.95802087,0.54997027
0015.png,0.95947194,pneumonia,0.5771624,0.5776264,0.5982621,0.5847008,0.32558888,0.50076723,0.5184289,0.5594317,0.0039930004,0.54550195,0.54941237,0.52504176,0.58933663,0.11708127,0.31884307,0.5465245,0.95947194,0.5409839
0016.png,0.92311424,pneumonia,0.5644314,0.5309577,0.54927635,0.5600851,0.11461981,0.3784286,0.5082313,0.5133342,0.002057128,0.5174109,0.5384754,0.51372015,0.57683,0.1530246,0.29308316,0.5431541,0.92311424,0.5286875
0017.png,0.93233776,pneumonia,0.5940557,0.5460632,0.5689464,0.59400916,0.1808025,0.5000104,0.5137813,0.5608811,0.0023828992,0.54666513,0.5541153,0.51575714,0.57158434,0.4680579,0.23500022,0.5538976,0.93233776,0.52601904
0018.png,0.9449921,pneumonia,0.5691341,0.5690014,0.5788747,0.5582688,0.39927146,0.5016961,0.5150825,0.56770086,0.009040588,0.5403538,0.54246515,0.5237323,0.6099957,0.16442177,0.35575607,0.5475373,0.9449921,0.5606443
0019.png,0.9419856,pneumonia,0.5635612,0.5547514,0.5562619,0.5594069,0.17908375,0.48842508,0.506147,0.5333664,0.0012413603,0.52528036,0.5358486,0.5305482,0.62764823,0.20463493,0.2556722,0.5559169,0.9419856,0.5238721
0020.png,0.9493921,pneumonia,0.5452287,0.53014576,0.55683994,0.54564285,0.08230371,0.38678426,0.5111227,0.52194685,0.0007488168,0.53224653,0.5300889,0.52209735,0.6182516,0.24202245,0.27181846,0.5478328,0.9493921,0.53149307
0021.png,0.94599205,pneumonia,0.57715446,0.6000475,0.5952363,0.5833715,0.50648856,0.50264955,0.5365346,0.5979217,0.02568038,0.5490296,0.57329464,0.5285686,0.6055988,0.110004336,0.51019037,0.53205943,0.94599205,0.57025814
0022.png,0.9186783,pneumonia,0.6035757,0.5548016,0.5497954,0.58415693,0.31363228,0.50087535,0.5116422,0.54381377,0.0049819043,0.52809656,0.56523615,0.5206922,0.5828104,0.33427715,0.35641932,0.55495775,0.9186783,0.5275624
0023.png,0.9559585,pneumonia,0.5673206,0.5347043,0.5517777,0.5630324,0.102214396,0.34832326,0.50598335,0.53219736,0.00066361565,0.5195902,0.5319456,0.52267563,0.6285617,0.31255612,0.21367826,0.54522824,0.9559585,0.5151254
0024.png,0.9458733,pneumonia,0.5184374,0.5469048,0.5771664,0.53949726,0.18309484,0.5007396,0.51823896,0.5421003,0.0029837426,0.5396721,0.5371068,0.5101571,0.5600919,0.090399615,0.16519468,0.53136396,0.9458733,0.5622646
0025.png,0.9450227,pneumonia,0.53398275,0.5245712,0.5497992,0.541767,0.049615398,0.27194795,0.50539887,0.5155736,0.00074449007,0.5264886,0.52141666,0.5095838,0.5647088,0.38753754,0.09762877,0.541948,0.9450227,0.50834167
0026.png,0.9246181,pneumonia,0.5599723,0.5650949,0.55623436,0.5430399,0.29183522,0.5005754,0.50584364,0.5344128,0.0071263234,0.5339658,0.54793084,0.5206002,0.57947195,0.50459194,0.19368456,0.55245465,0.9246181,0.52923965
0027.png,0.93868476,pneumonia,0.6069804,0.55602646,0.57549286,0.5890292,0.29749733,0.5018127,0.5190207,0.56687975,0.0034059498,0.5462763,0.5584711,0.5153583,0.5874064,0.4045085,0.33736277,0.5875926,0.93868476,0.5461459
0028.png,0.94129485,pneumonia,0.5704328,0.57131076,0.5881001,0.5616095,0.39540878,0.5009584,0.5131335,0.56612515,0.0051011005,0.5378915,0.55051565,0.5260933,0.60485995,0.15536118,0.3628999,0.5645958,0.94129485,0.55486715
0029.png,0.9198623,pneumonia,0.5475845,0.5422118,0.56919634,0.56243944,0.19964685,0.50115347,0.5114223,0.5488504,0.0015535185,0.5346637,0.5475321,0.5294987,0.64434993,0.22143625,0.39778852,0.548993,0.9198623,0.546291
0030.png,0.9400441,pneumonia,0.5619333,0.52473736,0.5421432,0.5645143,0.09974267,0.37488103,0.50519586,0.517948,0.0006171387,0.5166856,0.5345758,0.5146779,0.6115991,0.20871046,0.20758118,0.55226874,0.9400441,0.5227723
0031.png,0.952698,pneumonia,0.5314994,0.60867316,0.58522946,0.56831944,0.5183014,0.50339645,0.5138793,0.5466759,0.19103198,0.52759135,0.5031849,0.531037,0.5729827,0.026534505,0.17122205,0.52445865,0.952698,0.5451873
