filename,pneumonia_score,predicted_label,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia,Lung Lesion,Fracture,Lung Opacity,Enlarged Cardiomediastinum
0000.png,0.6278162,pneumonia,0.5708555,0.5505736,0.15028428,0.50109756,0.13710447,0.504706,0.511615,0.6096767,0.2999374,0.51009595,0.31221616,0.5117808,0.6097484,0.014515871,0.005508398,0.5029841,0.6278162,0.5178068
0001.png,0.6201128,pneumonia,0.5284915,0.5108943,0.23401158,0.3641993,0.09030616,0.502066,0.52589065,0.5311017,0.51376045,0.50427604,0.2601936,0.50852185,0.56304955,0.04876775,0.0005351069,0.45409566,0.6201128,0.31266168
0002.png,0.7503446,pneumonia,0.5815525,0.5907701,0.5014628,0.45577085,0.50018686,0.5097556,0.51448256,0.62006927,0.50664175,0.5056123,0.50593936,0.5287099,0.59486973,0.00526955,0.051068366,0.5039136,0.7503446,0.53944373
0003.png,0.7882815,pneumonia,0.49571773,0.51537585,0.4555926,0.5003105,0.0015598214,0.33570266,0.5422648,0.54260683,0.001183094,0.5923149,0.20269729,0.51390344,0.60705864,0.27436134,0.00068966864,0.50459707,0.7882815,0.35947427
0004.png,0.84358037,pneumonia,0.53154284,0.5575131,0.3432536,0.50243485,0.034222055,0.5009049,0.53353405,0.57743585,0.28746197,0.51596165,0.22477856,0.5230095,0.6277441,0.006136475,0.0003689214,0.33634454,0.84358037,0.51709944
0005.png,0.78481317,pneumonia,0.5440318,0.5318867,0.44633693,0.5068631,0.045406062,0.5025017,0.5604719,0.583345,0.30512017,0.54787993,0.14788821,0.5246474,0.6325227,0.04058259,0.00045231153,0.5040467,0.78481317,0.40923262
0006.png,0.8096829,pneumonia,0.56170285,0.541844,0.50143635,0.50502455,0.16836043,0.50391185,0.55525076,0.6858602,0.5894263,0.52405405,0.23811603,0.5268421,0.636276,0.016866226,0.0016780137,0.5017016,0.8096829,0.50299436
0007.png,0.85427535,pneumonia,0.5292536,0.55436873,0.32066438,0.5087917,0.037894722,0.5055474,0.52374876,0.5762393,0.14777933,0.54122895,0.2148035,0.5233464,0.61872077,0.0043433374,0.0032650633,0.50305086,0.85427535,0.58306086
0008.png,0.8778188,pneumonia,0.540251,0.5465544,0.35895532,0.5077318,0.026642634,0.5037354,0.53636175,0.58333826,0.2839994,0.53047377,0.124825686,0.5286262,0.6668085,0.007641397,0.00022056518,0.50343215,0.8778188,0.5070094
0009.png,0.87524307,pneumonia,0.52812654,0.53621674,0.38998196,0.5058102,0.0993769,0.5067185,0.51066625,0.59270775,0.56400174,0.5126169,0.17961712,0.5174993,0.6393457,0.008060814,0.0014515053,0.26235944,0.87524307,0.54813075
0010.png,0.742505,pneumonia,0.52536154,0.5213882,0.4671649,0.50080764,0.09409664,0.5027722,0.53118247,0.6027796,0.5961454,0.5128893,0.18470247,0.51005906,0.5622952,0.059394177,0.0004690374,0.3855384,0.742505,0.3231699
0011.png,0.7653669,pneumonia,0.5175818,0.51854086,0.26230925,0.50132525,0.033572134,0.5050255,0.52231944,0.53809124,0.37254238,0.5080749,0.086590245,0.5081762,0.5883731,0.019974735,0.00032425325,0.33851245,0.7653669,0.38759828
0012.png,0.83848655,pneumonia,0.5080944,0.55371,0.16770302,0.51436275,0.020120189,0.5048313,0.5009934,0.52777946,0.13754709,0.5099312,0.04574072,0.50389385,0.58730304,0.01075456,0.0006053745,0.35718095,0.83848655,0.5179051
0013.png,0.6976856,pneumonia,0.55608726,0.52132237,0.4018468,0.5009977,0.1094011,0.5026089,0.5489118,0.6383865,0.5220396,0.5110514,0.36982366,0.51307404,0.5712356,0.06461535,0.0007476483,0.50233567,0.6976856,0.38078058
0014.png,0.8049742,pneumonia,0.33236408,0.5340138,0.3005554,0.5011133,0.0040743616,0.50315464,0.53787327,0.40733492,0.01408924,0.53501785,0.03654594,0.50926113,0.5539453,0.0028094146,9.2731476e-05,0.36611637,0.8049742,0.27022865
0015.png,0.7021829,pneumonia,0.5852548,0.5632705,0.33495548,0.5038953,0.2115037,0.50614893,0.5188447,0.6556173,0.5139495,0.51469254,0.24586916,0.5209072,0.61796725,0.016582657,0.0063824095,0.5096451,0.7021829,0.5206749
0016.png,0.80268574,pneumonia,0.5445727,0.5442917,0.31949326,0.5071961,0.07264219,0.5047734,0.52232414,0.66251457,0.3561919,0.5349369,0.12158291,0.51448023,0.62222886,0.008736583,0.0020652595,0.470449,0.80268574,0.5316019
0017.png,0.84991264,pneumonia,0.5354222,0.54060644,0.3063186,0.5100317,0.034438998,0.50292146,0.52809405,0.5824535,0.49051952,0.5240381,0.07734992,0.5180856,0.6357097,0.013811062,0.0002324878,0.5013224,0.84991264,0.50503767
0018.png,0.866851,pneumonia,0.5684108,0.5763655,0.29665768,0.52474326,0.06762929,0.5072832,0.52640647,0.78302836,0.1328461,0.57509255,0.09966625,0.5222025,0.6861857,0.0055291816,0.0056164074,0.50511175,0.866851,0.5570109
0019.png,0.84614015,pneumonia,0.5489073,0.56388974,0.2523707,0.5064359,0.029911842,0.50092566,0.5194376,0.7447077,0.1012731,0.52814674,0.3076869,0.5197258,0.71593475,0.008383242,0.0013361515,0.3909808,0.84614015,0.5291094
0020.png,0.82160854,pneumonia,0.5298778,0.54460454,0.25883648,0.50483346,0.05808957,0.50498295,0.5115299,0.5880474,0.51337284,0.5073396,0.14208163,0.51340723,0.5923594,0.00974706,0.00048504816,0.3921327,0.82160854,0.5218731
0021.png,0.8506309,pneumonia,0.54603934,0.5760056,0.52991223,0.50473666,0.11591964,0.5034316,0.60360545,0.65215766,0.46466595,0.5655506,0.13614267,0.5468962,0.70678425,0.0052863136,0.0033070776,0.500525,0.8506309,0.5178958
0022.png,0.6743194,pneumonia,0.5348329,0.5208777,0.26667762,0.5008241,0.016099367,0.5025333,0.54423594,0.54179186,0.06704368,0.5285753,0.1394325,0.5175582,0.61109364,0.047023766,0.0008473394,0.41185716,0.6743194,0.45916066
