filename,pneumonia_score,predicted_label,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia,Lung Lesion,Fracture,Lung Opacity,Enlarged Cardiomediastinum
0000.png,0.8189585,pneumonia,0.43735147,0.5324764,0.50514513,0.505856,0.0196339,0.5010852,0.51471955,0.5608989,0.0023345307,0.5471275,0.5283212,0.5178292,0.55353904,0.054886468,0.06279566,0.51572835,0.8189585,0.56149447
0001.png,0.84652996,pneumonia,0.2699505,0.51597834,0.5619177,0.5032649,0.021890225,0.5004941,0.52338207,0.50181895,0.0034097217,0.52659625,0.4946685,0.5048084,0.51287866,0.0076982738,0.009448166,0.50028694,0.84652996,0.5287961
0002.png,0.93593085,pneumonia,0.21920437,0.5090205,0.54466367,0.5009446,0.012710952,0.50168115,0.52693343,0.4550528,0.0002207884,0.52297586,0.14829253,0.51216424,0.5345184,0.010276259,0.07445296,0.51928717,0.93593085,0.5388895
0003.png,0.91939485,pneumonia,0.32174522,0.5126474,0.5341617,0.5082998,0.0097339675,0.2515255,0.50886726,0.2595911,0.00070614973,0.5090739,0.30414778,0.5116508,0.6103432,0.12587884,0.5000532,0.5010357,0.91939485,0.5666789
0004.png,0.8906858,pneumonia,0.20007251,0.52321315,0.53587323,0.5017648,0.010616337,0.3481563,0.5181581,0.4378259,0.001542338,0.530936,0.5298506,0.50909424,0.52040637,0.03987272,0.051182244,0.50053483,0.8906858,0.57873446
0005.png,0.91116434,pneumonia,0.44130266,0.5239985,0.6012316,0.51167953,0.19218794,0.5012456,0.52967846,0.54059374,0.0063866777,0.5190326,0.6138941,0.5060038,0.5094193,0.010723445,0.077855624,0.5026147,0.91116434,0.60186255
0006.png,0.9139211,pneumonia,0.5504871,0.5871111,0.5404694,0.5125487,0.090464175,0.5007776,0.5263813,0.7835854,0.01736834,0.57278514,0.3883761,0.5188798,0.5990616,0.007682805,0.10374697,0.51071924,0.9139211,0.5969403
0007.png,0.9251183,pneumonia,0.28213412,0.5246676,0.5654042,0.5034425,0.021296054,0.5000475,0.5137555,0.35144866,0.0043235323,0.5353373,0.32537124,0.4932904,0.51355857,0.114484966,0.10310142,0.50366366,0.9251183,0.5673754
0008.png,0.9274809,pneumonia,0.5058672,0.5306926,0.59601057,0.5060787,0.057766084,0.50001204,0.52968943,0.5293427,0.008074696,0.52806306,0.57460845,0.5176892,0.5323251,0.03854088,0.12491604,0.50820756,0.9274809,0.5970446
0009.png,0.84647095,pneumonia,0.5383867,0.561069,0.57576907,0.52695715,0.5087911,0.50703835,0.5416496,0.582928,0.098586895,0.53522015,0.57708466,0.5163293,0.54400456,0.058477066,0.50170577,0.52106,0.84647095,0.6364448
0010.png,0.96429837,pneumonia,0.3220199,0.60621655,0.63175225,0.5108147,0.1142506,0.5003333,0.5265284,0.5806825,0.11510827,0.5272647,0.5178925,0.5101758,0.52248216,0.001665895,0.017088829,0.22137217,0.96429837,0.60013545
0011.png,0.93343794,pneumonia,0.5120524,0.5596183,0.55041444,0.51968706,0.026879953,0.5009786,0.5149878,0.5992844,0.0018247154,0.52599835,0.5006565,0.5074138,0.60187197,0.039825246,0.08448717,0.45748237,0.93343794,0.5946829
0012.png,0.86659175,pneumonia,0.34583175,0.56107724,0.5814523,0.5301505,0.5017643,0.50575423,0.5812342,0.50941265,0.51801646,0.5256795,0.23898818,0.5107901,0.53947294,0.011775976,0.50617564,0.2878584,0.86659175,0.56720006
0013.png,0.9420681,pneumonia,0.4822823,0.5686931,0.5812457,0.504097,0.057679232,0.5021761,0.55436623,0.5882559,0.029749947,0.5363717,0.43199515,0.5260879,0.5915854,0.004470469,0.020691536,0.49995402,0.9420681,0.5594139
0014.png,0.8760865,pneumonia,0.19922242,0.5034354,0.5433507,0.5029408,0.005863744,0.5020405,0.54885966,0.28039867,0.0010529377,0.54600036,0.08094883,0.514514,0.52088416,0.039755948,0.11011681,0.5066741,0.8760865,0.53030103
0015.png,0.9066207,pneumonia,0.52381957,0.5332887,0.53976035,0.5067755,0.041124552,0.5007343,0.54331017,0.65679294,0.0027289237,0.57261443,0.5559171,0.5177684,0.590374,0.12151238,0.031399228,0.5156127,0.9066207,0.5698999
0016.png,0.854946,pneumonia,0.524862,0.5469572,0.5956633,0.5125121,0.22697148,0.5088857,0.5869026,0.5695463,0.030708773,0.619558,0.51645714,0.51510644,0.53811336,0.1798837,0.30111906,0.5315585,0.854946,0.60754836
0017.png,0.9437295,pneumonia,0.49684983,0.5561533,0.54352105,0.51471144,0.017663438,0.4712098,0.5170144,0.58042026,0.00130345,0.54470146,0.513323,0.5058904,0.53608394,0.031664044,0.09571381,0.5072621,0.9437295,0.56740344
0018.png,0.8842458,pneumonia,0.5710341,0.554912,0.54367745,0.5339578,0.1611541,0.5038017,0.5412619,0.6869875,0.012458418,0.57450664,0.52263194,0.52036285,0.57280374,0.12944414,0.50986344,0.5169106,0.8842458,0.64738905
0019.png,0.94170296,pneumonia,0.3753067,0.51344097,0.527647,0.5052032,0.008668093,0.27591202,0.506767,0.46871135,0.00042990196,0.52966857,0.5038142,0.51042944,0.6105687,0.5006081,0.1057171,0.5011187,0.94170296,0.561793
0020.png,0.9347915,pneumonia,0.4561564,0.5246665,0.5840189,0.51044786,0.03638695,0.45727715,0.51316404,0.52490664,0.001210576,0.5210106,0.5313822,0.5176887,0.54465544,0.081865236,0.09971034,0.50830126,0.9347915,0.58493084
0021.png,0.94287133,pneumonia,0.45511964,0.5180049,0.5533322,0.5056925,0.0119289085,0.5000375,0.5152085,0.53421414,0.00036006054,0.5253221,0.4159696,0.52644145,0.54994977,0.02120599,0.10300961,0.5144522,0.94287133,0.53025544
0022.png,0.94098264,pneumonia,0.21801949,0.51445854,0.54942966,0.30612186,0.0028265396,0.5000597,0.5277791,0.28016162,0.00014479354,0.5269536,0.085013755,0.53334,0.6340774,0.015965153,0.16147453,0.5055937,0.94098264,0.57604027
0023.png,0.89095634,pneumonia,0.5223111,0.50995654,0.5567105,0.510777,0.12962486,0.50149786,0.518794,0.5667449,0.0028571961,0.54986167,0.5725803,0.50799143,0.51241887,0.021270808,0.0648526,0.5194596,0.89095634,0.5619212
0024.png,0.87550503,pneumonia,0.5264274,0.5595953,0.57075465,0.5369613,0.42979982,0.50428915,0.5289978,0.5376766,0.057285305,0.5229163,0.50636244,0.50947183,0.55974114,0.021860618,0.44184303,0.5105802,0.87550503,0.6209148
0025.png,0.9540442,pneumonia,0.3781658,0.5084035,0.56670284,0.50088525,0.010543123,0.27084255,0.5118387,0.482105,0.00019924447,0.5213018,0.51016116,0.5084429,0.550557,0.10139271,0.075180754,0.51148224,0.9540442,0.6129033
0026.png,0.86035043,pneumonia,0.40517622,0.5124737,0.5145741,0.51523066,0.008574767,0.5012747,0.5095585,0.43603978,0.0007039398,0.5394102,0.39877135,0.5138755,0.5499157,0.047489263,0.1602741,0.5111257,0.86035043,0.533335
0027.png,0.8740938,pneumonia,0.23243001,0.5059061,0.54169524,0.3862282,0.012633908,0.4116249,0.5181292,0.48247725,0.021573696,0.5274549,0.50213885,0.43887973,0.52218795,0.2810279,0.0059924414,0.35230634,0.8740938,0.51779723
0028.png,0.9028321,pneumonia,0.5034263,0.52227545,0.547001,0.50014997,0.004502661,0.24512215,0.5445504,0.5096992,0.0035505125,0.5495534,0.18345682,0.5153637,0.5649406,0.052265473,0.0057308176,0.5100018,0.9028321,0.51254237
0029.png,0.93006575,pneumonia,0.19482653,0.57841,0.61992514,0.5205623,0.5035173,0.50124025,0.56423104,0.31623167,0.5218265,0.51200294,0.14144267,0.53341067,0.5316075,0.0030828628,0.25600386,0.24926303,0.93006575,0.5364765
0030.png,0.8956821,pneumonia,0.5195931,0.53528434,0.50790375,0.5065661,0.014311464,0.5002283,0.532921,0.59133863,0.0053172777,0.53789806,0.17827392,0.548491,0.6692871,0.04122817,0.011756769,0.516155,0.8956821,0.52132857
0031.png,0.93964314,pneumonia,0.44584385,0.502898,0.5807651,0.50174546,0.010848664,0.5000886,0.56202376,0.5060505,0.00012701651,0.5400166,0.22327572,0.506051,0.5281843,0.07583768,0.013727394,0.5327282,0.93964314,0.50961864
0032.png,0.92841244,pneumonia,0.10859107,0.5057819,0.51957536,0.51023746,0.0011408359,0.04682201,0.40024206,0.137573,7.128097e-05,0.47503826,0.0661538,0.511364,0.5952295,0.01928787,0.08312399,0.33465195,0.92841244,0.5148655
0033.png,0.9170404,pneumonia,0.19609544,0.5037581,0.52954537,0.46906057,0.0035851824,0.5000925,0.5140387,0.26162356,0.00013483032,0.51589876,0.29052502,0.5181825,0.5495399,0.06021999,0.04241417,0.5021813,0.9170404,0.53195643
