filename,pneumonia_score,predicted_label,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia,Lung Lesion,Fracture,Lung Opacity,Enlarged Cardiomediastinum
0000.png,0.91383886,pneumonia,0.5439582,0.6028499,0.5651796,0.5248962,0.12558888,0.5023834,0.5374831,0.69862074,0.027157562,0.5869516,0.52369845,0.51596713,0.5632668,0.0232298,0.21754733,0.5049526,0.91383886,0.6580704
0001.png,0.8654475,pneumonia,0.5423685,0.5444404,0.59197986,0.5181213,0.13137913,0.2960276,0.51718074,0.6719787,0.027586512,0.54653347,0.6302057,0.5137974,0.5202849,0.19327681,0.059385244,0.50272495,0.8654475,0.6017456
0002.png,0.8878405,pneumonia,0.55134046,0.53371,0.5711595,0.51052976,0.069815315,0.2506977,0.51398027,0.6681735,0.0069206003,0.54484534,0.6466701,0.5045992,0.5490016,0.5233706,0.15755755,0.51778114,0.8878405,0.6696838
0003.png,0.89490974,pneumonia,0.5589963,0.5898267,0.54572225,0.5234885,0.19182259,0.5066266,0.54440993,0.62405205,0.5373794,0.5668891,0.24305645,0.52640563,0.6476747,0.024460483,0.009802375,0.5110406,0.89490974,0.56117046
0004.png,0.80247796,pneumonia,0.5392878,0.5704357,0.56071657,0.53837603,0.3062501,0.50771165,0.53324175,0.57447165,0.090237506,0.5518991,0.53807175,0.50633,0.54731625,0.040345263,0.5320482,0.5033998,0.80247796,0.6734631
0005.png,0.92696774,pneumonia,0.5718733,0.6162784,0.5801828,0.5299568,0.26841596,0.50236213,0.52823853,0.75810117,0.16185637,0.6042775,0.50348127,0.528069,0.63139397,0.014540897,0.08687618,0.50837684,0.92696774,0.5915959
0006.png,0.9180009,pneumonia,0.56909215,0.5799707,0.6514496,0.51157856,0.41053295,0.50017464,0.54281414,0.6906041,0.037807122,0.60931754,0.6320827,0.51962197,0.58882284,0.50320536,0.27419928,0.5217731,0.9180009,0.6398602
0007.png,0.8744192,pneumonia,0.5060638,0.5460627,0.56331044,0.52227545,0.021277234,0.50046134,0.52483183,0.54566926,0.005211882,0.6079704,0.3699873,0.5064968,0.54684216,0.071095094,0.1017504,0.50510055,0.8744192,0.5776333
0008.png,0.9060414,pneumonia,0.51113176,0.5474086,0.6026454,0.5134085,0.11454313,0.5005654,0.5207794,0.5644439,0.01918124,0.5705911,0.5433394,0.5132122,0.55937624,0.15677515,0.17686224,0.5041127,0.9060414,0.6164372
0009.png,0.8838016,pneumonia,0.546777,0.54826486,0.5419375,0.5136072,0.0648041,0.5000683,0.5128497,0.655486,0.009578377,0.5689148,0.5643698,0.5059092,0.5789148,0.50597477,0.19219612,0.50598574,0.8838016,0.6085025
0010.png,0.96222144,pneumonia,0.52500045,0.64386046,0.620911,0.51842356,0.22107351,0.5024055,0.55923986,0.70485675,0.36507797,0.5729023,0.5016243,0.5310365,0.6354278,0.0021552257,0.0631084,0.41553944,0.96222144,0.6592802
0011.png,0.8959319,pneumonia,0.5414294,0.5400301,0.58503336,0.5132493,0.0390211,0.25671715,0.51614314,0.75647223,0.003979467,0.57209516,0.5705199,0.514488,0.5518712,0.2057138,0.081786394,0.5180393,0.8959319,0.5893242
0012.png,0.9786636,pneumonia,0.5133617,0.6282419,0.71592724,0.5235005,0.47647345,0.44821107,0.523366,0.6525589,0.009874378,0.5589583,0.66229546,0.5355295,0.5407133,0.016388344,0.20739381,0.5030043,0.9786636,0.64998925
0013.png,0.93398213,pneumonia,0.529324,0.5499395,0.5460758,0.5115346,0.043854374,0.5009315,0.517497,0.6373918,0.005419651,0.5411368,0.514086,0.5092628,0.5657915,0.010376412,0.049832758,0.4834404,0.93398213,0.5619279
0014.png,0.91482323,pneumonia,0.54231876,0.5284572,0.55957586,0.52015185,0.09023222,0.50297284,0.546453,0.61854774,0.0041899993,0.5757241,0.51068866,0.5278002,0.5773896,0.51096916,0.50398654,0.5279268,0.91482323,0.591032
0015.png,0.89592105,pneumonia,0.5410135,0.5864171,0.5508194,0.5143602,0.047204778,0.50164056,0.55974245,0.7183285,0.0058027003,0.648451,0.50061554,0.52231294,0.6002389,0.046621125,0.05675827,0.5325109,0.89592105,0.5692768
0016.png,0.88625216,pneumonia,0.5338485,0.57559156,0.531799,0.5133127,0.047207337,0.50194657,0.5401387,0.70701087,0.042897206,0.5773084,0.52494305,0.51642907,0.60333145,0.037679892,0.019120147,0.509553,0.88625216,0.5856328
0017.png,0.85738873,pneumonia,0.56128204,0.57341295,0.5102806,0.53010833,0.056277394,0.50186527,0.5228393,0.70072436,0.02546733,0.5823585,0.17219482,0.5090276,0.60807055,0.043104954,0.3663778,0.5061606,0.85738873,0.5892749
0018.png,0.9274685,pneumonia,0.5481947,0.5753375,0.5610435,0.5205047,0.06300902,0.5005761,0.52296555,0.684657,0.008333555,0.6069137,0.5119442,0.5066331,0.6015946,0.10900612,0.14941053,0.5112152,0.9274685,0.65121603
0019.png,0.9713852,pneumonia,0.50446427,0.6367422,0.66655624,0.5187978,0.5118201,0.5007709,0.55777097,0.60006756,0.52163136,0.54199123,0.3410828,0.52221364,0.5827106,0.004087228,0.25726715,0.2513771,0.9713852,0.61315364
0020.png,0.82029355,pneumonia,0.5507808,0.5324061,0.57590556,0.50758076,0.10377114,0.4403008,0.5150827,0.6263418,0.038397804,0.5523386,0.53637195,0.5026778,0.52685404,0.26551315,0.012859883,0.5116093,0.82029355,0.58467567
0021.png,0.8516232,pneumonia,0.52141786,0.5697439,0.57641363,0.5165885,0.08685111,0.50554883,0.5537287,0.58307683,0.03274526,0.6161032,0.506538,0.5237908,0.56721765,0.09471818,0.21829219,0.5214926,0.8516232,0.6255865
0022.png,0.8685287,pneumonia,0.5399624,0.5473449,0.51924324,0.5135863,0.025497539,0.50137925,0.5135318,0.60728896,0.005181016,0.5989281,0.20698316,0.5072503,0.5677848,0.11278268,0.026208712,0.520684,0.8685287,0.5542131
0023.png,0.88342214,pneumonia,0.5570411,0.5749309,0.5243539,0.5178406,0.059520677,0.5000959,0.51410806,0.7778721,0.0065607904,0.56834507,0.53131557,0.51202,0.5723405,0.04599989,0.16352041,0.5047287,0.88342214,0.66892374
0024.png,0.9337227,pneumonia,0.55271244,0.5830473,0.5626457,0.51606524,0.058412075,0.5004859,0.55345094,0.6683181,0.0029213126,0.6161232,0.500095,0.52400666,0.6669162,0.06457987,0.15817262,0.5272373,0.9337227,0.59680176
