filename,pneumonia_score,predicted_label,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia,Lung Lesion,Fracture,Lung Opacity,Enlarged Cardiomediastinum
0000.png,0.9311781,pneumonia,0.52056104,0.54486036,0.5493326,0.5137114,0.021783056,0.5003365,0.5345491,0.5877501,0.0010566008,0.59182847,0.5217941,0.52278084,0.5642512,0.09301342,0.11811458,0.51553285,0.9311781,0.57394046
0001.png,0.945506,pneumonia,0.5143026,0.55480635,0.6054671,0.5157498,0.07647395,0.399064,0.521018,0.5444261,0.0023872242,0.52150023,0.5936363,0.5615988,0.5706067,0.039792314,0.27713302,0.5081006,0.945506,0.5987996
0002.png,0.877011,pneumonia,0.521328,0.5087543,0.55830216,0.5037606,0.031232534,0.10785153,0.5141288,0.55902946,0.0022453845,0.5503217,0.6335553,0.5014864,0.5755984,0.736866,0.084000506,0.5230058,0.877011,0.5894348
0003.png,0.94994587,pneumonia,0.5156075,0.57432497,0.5401928,0.51346874,0.065095775,0.50651896,0.5598872,0.5804322,0.50758505,0.5553334,0.1403657,0.532815,0.67697746,0.005460923,0.0031512715,0.41095883,0.94994587,0.5525526
0004.png,0.8050995,pneumonia,0.5083276,0.5783791,0.53988457,0.5127466,0.181007,0.5162612,0.52995455,0.50804865,0.07412539,0.50788724,0.50349104,0.5103023,0.6059885,0.0040912824,0.6118385,0.44853473,0.8050995,0.7429184
0005.png,0.91649365,pneumonia,0.5536191,0.56887543,0.5826831,0.5166067,0.11502554,0.5003164,0.5333531,0.6764028,0.016569497,0.57893884,0.570779,0.526739,0.60389113,0.15568136,0.06355446,0.52402675,0.91649365,0.5729473
0006.png,0.92317426,pneumonia,0.53513044,0.57197315,0.6198388,0.5120678,0.26549008,0.50112367,0.542411,0.6321369,0.020528536,0.57421297,0.6083369,0.5298749,0.58417845,0.089824356,0.3587292,0.52099717,0.92317426,0.64542794
0007.png,0.94821686,pneumonia,0.50223696,0.50482047,0.5300839,0.53256345,0.002464587,0.041717425,0.5009099,0.26560402,0.00013066476,0.518103,0.29923555,0.50185466,0.53485656,0.35262504,0.03558435,0.50507593,0.94821686,0.5099397
0008.png,0.934876,pneumonia,0.30262002,0.5153813,0.5540174,0.51190674,0.019190615,0.18862449,0.50382304,0.5059308,0.0005525704,0.5147772,0.53573644,0.50102353,0.54169667,0.064876035,0.07927384,0.42145947,0.934876,0.5792756
0009.png,0.9307544,pneumonia,0.5124254,0.5267625,0.5739455,0.51279527,0.043862287,0.50071585,0.53940624,0.57451963,0.0021857342,0.5825753,0.53808826,0.52246153,0.587919,0.5142262,0.18765524,0.51487595,0.9307544,0.5733267
0010.png,0.97472805,pneumonia,0.50024825,0.6296124,0.6442517,0.5128412,0.070914544,0.31879157,0.53912216,0.6156974,0.040569454,0.52911824,0.3071796,0.52163225,0.59893477,0.002248911,0.032452654,0.40539098,0.97472805,0.56031644
0011.png,0.9251855,pneumonia,0.5423402,0.5313457,0.58587533,0.5168976,0.041026324,0.31296444,0.5243777,0.64582026,0.0017478155,0.54182434,0.52943027,0.5086364,0.56197107,0.16783296,0.10211295,0.52327144,0.9251855,0.5581631
0012.png,0.922542,pneumonia,0.5397831,0.551569,0.5808649,0.52465224,0.20364073,0.50001085,0.5092619,0.62374055,0.0068015764,0.52688676,0.6397978,0.5146224,0.522686,0.063857555,0.12798122,0.50954455,0.922542,0.605345
0013.png,0.9706075,pneumonia,0.46453345,0.5285187,0.5638414,0.5051758,0.0074543855,0.17437218,0.51454294,0.5142331,0.00016981276,0.52085733,0.50020087,0.51518476,0.5605274,0.0033960547,0.04991626,0.5079132,0.9706075,0.5545886
0014.png,0.9200769,pneumonia,0.52562666,0.5366645,0.57314086,0.5249894,0.09638893,0.50449383,0.5587443,0.5637579,0.0060687033,0.56901586,0.504335,0.5104756,0.55699384,0.24271221,0.508713,0.5177723,0.9200769,0.5728563
0015.png,0.9491411,pneumonia,0.5188818,0.5200465,0.52941763,0.504455,0.010123113,0.50121164,0.5331489,0.60754526,0.00014715335,0.54621524,0.2741086,0.525679,0.58954096,0.06485239,0.071792275,0.53160715,0.9491411,0.53653705
0016.png,0.92651045,pneumonia,0.41505435,0.56145316,0.5547136,0.5073881,0.015220286,0.40170172,0.55471337,0.58531743,0.010688789,0.5639417,0.26155308,0.51342714,0.5936785,0.010648387,0.006027691,0.5003625,0.92651045,0.5208911
0017.png,0.9188731,pneumonia,0.5192424,0.57357013,0.5215323,0.5237505,0.050086297,0.50352645,0.5460502,0.62576455,0.0113594225,0.57117844,0.36131272,0.5204916,0.6222265,0.010427872,0.50723255,0.47312668,0.9188731,0.64282835
0018.png,0.9477182,pneumonia,0.50335395,0.564099,0.5566843,0.5117031,0.023512248,0.5006156,0.520339,0.58343637,0.002995661,0.54536045,0.5067348,0.50170094,0.5511459,0.058284856,0.13442335,0.48868874,0.9477182,0.6197462
